epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0622,3.84001,4.29301,4.35864,0.00044,0.09176,0.00025,5e-05,4.22679,3.96863,4.15893,0.00028339,0.00028339,0.00028339
2,60.7298,3.25751,3.62261,4.01726,0.00064,0.11305,0.00038,9e-05,4.29301,3.83498,4.19482,0.000581525,0.000581525,0.000581525
3,77.9825,2.89438,3.25714,3.5934,0.00066,0.11277,0.00045,0.00011,4.49435,3.91213,4.35835,0.000877679,0.000877679,0.000877679
4,93.7768,2.73617,2.83291,3.29802,0.00069,0.11595,0.00047,0.00011,4.7678,4.00638,4.62876,0.00117185,0.00117185,0.00117185
5,107.435,2.67388,2.65398,3.15501,0.00045,0.05942,0.00024,7e-05,4.83765,4.05437,4.77903,0.00146405,0.00146405,0.00146405
6,121.64,2.54067,2.41026,2.99292,0.00055,0.05548,0.0003,8e-05,4.68198,4.02066,4.6084,0.00163949,0.00163949,0.00163949
7,136.517,2.45626,2.33366,2.88913,0.00137,0.22432,0.00188,0.00038,4.25336,3.7447,4.11497,0.00163399,0.00163399,0.00163399
8,149.924,2.3752,2.18433,2.79647,0.14366,0.22124,0.18148,0.06811,2.60398,2.97208,2.9634,0.00162849,0.00162849,0.00162849
9,163.145,2.28995,2.18125,2.69511,0.41764,0.52936,0.38648,0.14938,1.98682,2.31962,2.49732,0.00162299,0.00162299,0.00162299
10,176.483,2.16977,2.06296,2.60081,0.553,0.69231,0.70229,0.33489,1.77898,1.81735,2.3254,0.00161749,0.00161749,0.00161749
11,189.969,2.05361,1.94846,2.49336,0.68947,0.57837,0.66012,0.26796,2.00054,1.81407,2.49034,0.00161199,0.00161199,0.00161199
12,203.904,1.96671,1.79883,2.42786,0.75591,0.85265,0.91319,0.51851,1.48944,1.39404,2.06969,0.00160649,0.00160649,0.00160649
13,216.387,1.85306,1.6558,2.30792,0.55606,0.5213,0.58609,0.28154,1.94292,1.8578,2.49091,0.00160099,0.00160099,0.00160099
14,229.791,1.75577,1.58875,2.24111,0.90731,0.84776,0.94205,0.58689,1.28376,1.4227,1.95704,0.00159549,0.00159549,0.00159549
15,242.222,1.72693,1.50764,2.20158,0.90629,0.81973,0.92375,0.52828,1.637,1.32617,2.09198,0.00158998,0.00158998,0.00158998
16,255.055,1.67571,1.42973,2.12075,0.90749,0.90175,0.95885,0.63886,1.19248,0.94651,1.69954,0.00158448,0.00158448,0.00158448
17,268.288,1.52231,1.34647,2.00135,0.89654,0.91454,0.98132,0.64896,1.26811,1.00331,1.78516,0.00157898,0.00157898,0.00157898
18,281.182,1.47,1.28608,1.95368,0.94297,0.96038,0.984,0.67082,1.11627,0.84245,1.66193,0.00157348,0.00157348,0.00157348
19,294.324,1.40896,1.24859,1.8918,0.92422,0.93773,0.97298,0.72319,1.03882,1.01616,1.57837,0.00156798,0.00156798,0.00156798
20,307.777,1.42024,1.23029,1.89337,0.97109,0.9532,0.9892,0.70275,1.05001,0.85705,1.51362,0.00156248,0.00156248,0.00156248
21,321.128,1.38311,1.16263,1.83384,0.95625,0.9376,0.98123,0.73091,0.98579,0.83343,1.47596,0.00155698,0.00155698,0.00155698
22,334.309,1.25489,1.08945,1.73464,0.96384,0.93974,0.97839,0.72913,0.9398,0.79827,1.44803,0.00155148,0.00155148,0.00155148
23,346.986,1.2549,0.99924,1.7218,0.92985,0.93628,0.979,0.66627,1.1968,0.96875,1.73661,0.00154598,0.00154598,0.00154598
24,360.582,1.26607,1.03881,1.73509,0.96583,0.9452,0.98152,0.69589,1.04906,0.78413,1.49836,0.00154047,0.00154047,0.00154047
